Station,displacement,displacement_sd,slope,slope_sd,r2,r2_sd
gz09,0.09836468581760438,0.057631096750887456,3.77351900919711e-05,3.16210312680701e-05,0.7704932573069005,0.24930432384793996
gz10,0.08945382967527817,0.12094442385667205,3.919770695443895e-05,7.838340045476227e-05,0.6377225603542913,0.33259769223940416
gz11,0.12086812950593859,0.0639423272633995,4.6746096538308654e-05,3.565887636907316e-05,0.8572092058527592,0.14922309262169464
gz12,0.07961224402655472,0.053616103734908306,2.6351127570459237e-05,2.8790886018147685e-05,0.6125066135947429,0.3158329823899436
gz13,0.07491565264891974,0.0440339028343974,2.3681611716819406e-05,1.914252918912728e-05,0.7198144745472823,0.21668942666419236
gz14,0.08080828776574223,0.07005079944028961,2.4983889698473587e-05,4.045075855202388e-05,0.5494533004388602,0.30497466854423044
gz15,0.09470446867938949,0.07129364505521096,3.2723930570684974e-05,4.300705165639953e-05,0.5863626882839841,0.31824129844902577
gz16,0.11676660763789508,0.058427766451631405,3.971662205593885e-05,2.8025089607360625e-05,0.8639040832933143,0.11263213866763948
gz17,0.08900946269738247,0.052184257581466144,2.9727008177636416e-05,2.6742445038343362e-05,0.7202434871139166,0.24866777358513634
gz18,0.10020560124323534,0.0513369947233989,3.384178139698139e-05,2.3628779185175706e-05,0.8440306644936775,0.11982252566218299
gz19,0.09212009436374392,0.2841436830930576,2.3047806978203046e-05,4.228535665150819e-05,0.5681203948891717,0.2832308947603535
gz20,0.14890321738838383,0.060950184356355665,4.146117307350782e-05,3.840914241491111e-05,0.9035807675687119,0.07306107999932954
mg01,0.15548395601155449,0.07928900438914704,4.549842260014104e-05,3.348650083556869e-05,0.7348233474482267,0.24900133475485203
mg02,0.14668031708343834,0.08093454013556525,4.2423950839377256e-05,3.668414429057063e-05,0.6570966578398613,0.3054452764672417
mg03,0.14500504127874703,0.0740815875060945,4.177025238250293e-05,1.6251529203209023e-05,0.8653700740246884,0.1326064970448561
mg04,0.18034400745879772,0.5990198876078658,4.653814940010934e-05,4.145941080896911e-05,0.9412348285541214,0.05193439175659484
mg05,0.09868606373275438,0.04878859869837943,3.0615100431243824e-05,1.394344907584274e-05,0.8590244000907651,0.11219012729330642
mg06,0.06519473111942486,0.03993579518658867,1.9641603981819037e-05,1.383047569466059e-05,0.6881207998197406,0.2312275965991868
mg07,0.13605505432766724,0.05901259826867276,4.261165796797087e-05,1.314218399829726e-05,0.9393577028440868,0.045997827146137954
slw1,0.1767806710669066,0.09038554569526665,7.111443743629202e-05,6.4607780342257645e-06,0.9700642078560422,0.02404114080462262
