date,evt_energy
2014-05-22 17:43:30,282734927.8965891
2014-10-20 08:12:30,221610433.55655736
2014-08-26 01:33:30,573988883.2879314
2014-06-13 01:36:45,718343703.6662863
2014-03-01 19:36:00,189651945.4900644
2014-12-04 09:37:30,51429708.70559805
2014-01-25 22:00:00,685361870.1515522
2014-12-15 20:05:45,184665695.148126
2014-11-06 22:41:15,367292328.6885751
2014-08-13 22:03:30,221694029.16482005
2014-04-23 06:10:00,771720709.6299996
2014-04-01 02:12:45,457026621.1136529
2014-08-24 10:39:45,285279491.73330873
2014-05-22 04:06:45,601993466.7042875
2014-04-29 10:15:00,336698041.3407294
2014-11-05 07:57:00,232611567.63200065
2014-05-03 18:09:00,28712142.360960435
2014-06-17 16:41:30,138578837.58680743
2014-07-29 04:13:30,226555430.78351244
2014-04-14 11:40:00,508729090.0773771
2014-05-17 03:21:45,785746169.0533756
2014-05-15 01:46:45,737149369.6667007
2014-12-17 09:09:45,331274505.2452297
2014-06-28 03:21:45,253745781.8006656
2014-05-16 02:46:45,714383226.679174
2014-06-21 02:36:45,592166521.1480992
2014-05-21 05:31:45,49487973.9600773
2014-07-26 01:33:30,308099343.61846673
2014-06-26 02:36:45,920253280.263049
2014-06-14 03:01:45,752965923.538332
2014-10-30 17:34:15,780936998.5022125
2014-04-05 04:50:45,703300704.8317597
2014-07-01 04:01:45,271434557.77028096
2014-06-14 13:26:45,457115875.48351806
2014-10-22 21:47:30,276007845.3037902
2014-02-13 17:35:00,641922453.5599989
2014-12-01 06:11:45,78799210.58760436
2014-10-07 07:22:30,237521419.28086752
2014-06-10 00:01:45,753937838.6709757
2014-09-21 10:25:15,406690101.4135867
2014-10-15 08:38:00,299293258.9094803
2014-02-23 08:35:00,243076726.378261
2014-05-17 13:36:30,488148791.2874261
2014-05-20 14:41:30,303861643.9577739
2014-06-16 12:45:00,351963995.8642248
2014-03-28 07:55:00,223361576.5170532
2014-02-19 09:00:45,563532134.6053358
2014-02-23 21:05:45,446538973.3025017
2014-08-02 23:38:30,358056538.6929886
2014-08-15 14:22:30,295643530.5181252
2014-08-14 23:33:30,204216307.5176113
2014-12-09 16:34:15,239469115.88796774
2014-12-21 13:25:00,75613039.20761849
2014-02-21 11:30:00,159898760.30328533
2014-07-25 09:31:30,224565457.688878
2014-08-10 01:23:30,777635750.6648916
2014-11-28 16:22:00,682913172.8143868
2014-04-22 05:50:00,784833210.338899
2014-09-09 06:20:15,161855600.097666
2014-05-20 04:46:45,81642950.9583778
2014-07-08 23:26:45,660308137.7114334
2014-08-18 20:18:30,251836152.11979148
2014-03-01 08:15:00,205944823.6453691
2014-08-23 02:44:45,569164650.3415642
2014-02-03 23:10:00,202270167.57512912
2014-09-19 22:20:15,248592879.0425769
2014-01-24 08:10:00,467899014.84542024
2014-10-10 19:11:45,418252506.91593766
2014-03-10 18:35:00,167079056.26697743
2014-02-17 14:45:45,932642720.3632824
2014-11-01 06:29:15,317854526.1029838
2014-07-12 01:38:30,679018510.6041939
2014-04-21 05:45:00,244001527.32924613
2014-02-05 14:57:45,225746925.4608367
2014-09-15 03:49:00,242494049.124223
2014-01-26 11:40:00,290915129.8276081
2014-06-29 06:36:45,347587895.2625544
2014-10-16 18:31:45,429503366.8524486
2014-08-14 11:03:30,204825102.4943981
2014-03-04 10:46:30,234846434.5101203
2014-06-06 06:41:45,155312260.03386265
2014-03-30 07:30:00,179160071.5945867
2014-11-26 16:06:45,762960805.3049394
2014-10-19 19:27:00,472226676.527773
2014-05-29 03:06:45,655576062.9677663
2014-04-06 05:50:00,184912525.69652292
2014-07-16 00:03:30,454578440.30052626
2014-03-18 12:30:00,483299037.4460012
2014-10-13 17:12:00,225730263.013061
2014-04-06 19:35:45,407153156.9558833
2014-10-13 03:17:30,410324748.653965
2014-12-23 14:10:00,2517565674.779481
2014-12-18 13:25:45,233208296.94645426
2014-09-08 19:20:15,100436037.27905613
2014-02-22 07:25:45,140652059.26505917
2014-12-11 16:04:15,620159783.855516
2014-07-25 00:18:30,106517782.86975409
