Station,pre-slip_area,pre-slip_area_sd,slip_severity,slip_severity_sd,slip_size,slip_size_sd,x_cor,y_cor
gz01,88.12118921898663,85.93645306053021,8.294898582149098e-07,2.947495781633609e-07,0.3747747745722601,0.06910430319714472,-178533.70585008597,-610921.0441554557
gz02,92.26422973663605,56.68038708774329,8.292908350912529e-07,2.879945713813944e-07,0.37095889947060606,0.06799792160782414,-172833.24234908735,-609493.1065516666
gz03,119.394999350946,107.19739067108019,8.202771797274077e-07,2.847179308593945e-07,0.377518396229275,0.07564520477752068,-167126.8447437968,-608047.4460647186
gz04,120.54645352241252,139.10737121974694,8.130264661126539e-07,2.800991513027062e-07,0.3581362314506568,0.06523289441165016,-161526.17672506935,-606496.4166288148
gz05,113.75808827696945,142.5155465285577,7.798744074092022e-07,2.7356160466686525e-07,0.3427648241113151,0.06377811805481633,-155766.98797266872,-605038.2386205866
gz06,91.96921697765687,73.55699405604223,9.342732632097504e-07,3.776403443632288e-07,0.3742308176168667,0.06627013614744119,-174556.4321985538,-603550.1691792171
gz07,128.48445225147054,153.18387021156252,8.88005424984821e-07,2.9252388508852123e-07,0.3830860924775674,0.07687219190880447,-168846.09042414097,-602168.8273598101
gz08,115.43122057145742,170.1599111300666,8.690959010586831e-07,2.9555564954268175e-07,0.35800746138082823,0.06627533573387444,-163202.1478724033,-600697.3073138102
gz09,87.66356362612343,42.350910822964856,8.04369803765651e-07,2.621613392779962e-07,0.35756076722848673,0.062298629379185365,-171682.58490679442,-614963.206916869
gz10,121.05442078702131,66.29593771313941,8.003042123752307e-07,2.528545801864522e-07,0.37314827242426984,0.07592258907618465,-165928.27769113096,-613511.2521130791
gz11,101.33933144159627,97.05936471727738,7.985518148512471e-07,2.538535670191651e-07,0.3443766257018529,0.060601112673830525,-160203.43442634091,-612032.996547196
gz12,114.32077142513575,81.71907360061728,9.542115974033126e-07,3.367294998215335e-07,0.3860328761656397,0.07630478612173093,-175430.80556671837,-589706.0708985653
gz13,118.8179109134008,88.06027320818298,9.717835010455176e-07,3.576578507744346e-07,0.3935289089927573,0.0787901115189221,-180376.74199194022,-585859.3486295692
gz14,127.85252669578708,102.16011727004022,8.857238519224464e-07,3.2350286961950426e-07,0.38779067011448004,0.07900790784685194,-170551.53480435134,-593517.3427755317
gz15,121.8561952479033,108.20711626296212,8.607878681608488e-07,3.080453912582525e-07,0.3735929824796315,0.07356205460760319,-165732.21693729528,-597268.173778784
gz16,102.14914211829738,81.88969255878696,8.119920641246208e-07,2.8882004823762877e-07,0.35217358608180666,0.06656722846730796,-160780.75120586756,-601130.0495164291
gz17,101.54539184916955,114.03364530231595,9.014522726141164e-07,3.2566813279526624e-07,0.37886231225236305,0.07359602449694344,-173364.25984863547,-598700.633603306
gz18,122.85892531368793,126.65020067216477,8.845294641159873e-07,3.308615962325956e-07,0.36454757172113356,0.06932729626374422,-167907.0049366487,-588200.1441347648
gz19,145.88151577579387,71.11256342256068,8.655872654019111e-07,3.0757585850657887e-07,0.4094875240348833,0.08298335079411374,-173346.38726461594,-591275.4834527469
gz20,133.71353157599864,165.6541885903786,6.951406621550203e-07,3.151270319941994e-07,0.37115122275197004,0.07388206835280418,-155066.82989905123,-605460.2613635357
mg01,145.1167396654609,160.54860024670828,6.468984413733209e-07,2.2659786041479505e-07,0.2978297260851522,0.05934051430587927,-178462.5466582153,-555835.6719349005
mg02,162.77351547736237,220.64515860505924,6.876384565463164e-07,2.391463331278312e-07,0.3123482977615859,0.06291478653985935,-179251.9745576572,-556882.9735451257
mg03,145.40749033263774,48.86697665768921,7.677656137967049e-07,2.937936613260024e-07,0.31912042016689945,0.05696225342944828,-180097.25586065557,-557882.612439657
mg04,138.52242440842357,186.16675610166413,8.069044772278906e-07,3.2483674266073623e-07,0.33575184950638487,0.06492090536259362,-181853.9877418033,-560788.2678059591
mg05,143.95238392016464,157.77793830812752,9.499502269455831e-07,3.529597150360805e-07,0.36975006979168046,0.07395422822716806,-185678.53969392247,-565417.1025316762
mg06,139.04777802504222,175.03149556555,1.0228542858788175e-06,3.7603612069208847e-07,0.3972512282029505,0.08159442048242808,-189291.11945724243,-570212.4036758058
mg07,126.03373017591132,119.00161629705232,8.1756429157521e-07,2.907679312887694e-07,0.3295097120939278,0.06424502445104749,-185263.18872241525,-558217.6317621776
